Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Moon,At the End of a Long Spring,長い春の果てに,Nagai Haru no Hate ni,Takarazuka Grand Theater,Ishida Masaya,Ishida Masaya,Nishimura Kouji,Ai Erina. Maeda Kiyomi,Shibuki Jun,5,Emi Kurara,5,N/A,TRUE,FALSE,FALSE,FALSE,drama. comedy. french,TRUE,film,FALSE,FALSE,23,8,2002,30,9,2002
Moon,With a Song in My Heart,With a Song in my Heart －君が歌、わが心に深く－,With a Song in My Heart -Kimi ga Uta. Waga Kokoro ni Fukaku-,Takarazuka Grand Theater,Okada Keiji,Okada Keiji,Yoshizaki Kenji. Takahashi Kuni. Kai Masato. Miyahara Tooru. Kikawada Shin,Hayama Kiyomi. Tsukasa Konomi. Ootani Morio. Muromachi Akane. Miori Yumino,Shibuki Jun,5,Emi Kurara,5,N/A,TRUE,FALSE,FALSE,FALSE,revue,TRUE,broadway,FALSE,FALSE,23,8,2002,30,9,2002
Flower,Shadow of the Moon,月の燈影,Tsuki no Hokage,Nippon Seinenkan Hall,Oono Takuji,Oono Takuji,Takahashi Kuni. Kikawada Shin,Yamamura Waka. Nishizaki Mine,N/A,0,N/A,0,Ayabuki Mao,FALSE,TRUE,FALSE,FALSE,drama. nihonmono.,FALSE,FALSE,FALSE,FALSE,16,8,2002,22,8,2002
Snow,Memories of Barcelona,追憶のバルセロナ,Tsuioku no Barcelona,Tokyo Takarazuka Theater,Masatsuka Haruhiko,Masatsuka Haruhito,Takahashi Kuni. Miyahara Tooru,Iga Yuuko. Hirasawa Satoshi,Emao Yuu,2,Konno Mahiru,2,N/A,TRUE,FALSE,FALSE,FALSE,drama. spanish,FALSE,FALSE,FALSE,FALSE,16,8,2002,23,9,2002
Snow,On the Fifth,ON THE 5th －ヴィレッヂからハーレムまで－,On the Fifth -From the Village to Harlem-,Tokyo Takarazuka Theater,Kusano Akira,Kusano Akira,Kobayashi Kouhei. Takahashi Kuni. Kuratomi Shinichi,Randy Skinner. Hayama Kiyomi. Ueshima Yukio. Iga Yuuko,Emao Yuu,2,Konno Mahiru,2,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,16,8,2002,23,9,2002
Flower,Love Blooms Out on the Murasakino,あかねさす紫の花,Akanesasu Murasaki no Hana,Hakataza Theater,Shibata Yukihiro. Onoe Kikunojou,Shibata Yukihiro,Yoshida Yuuko. Terada Takio,Onoe Kikunojou. Onoe Seifuu,Haruno Sumire,1,Ootori Rei,10,N/A,TRUE,FALSE,FALSE,FALSE,drama. nihonmono,FALSE,FALSE,TRUE,flower. snow. moon.,3,8,2002,25,8,2002
Flower,Cocktail,Cocktail －カクテル－,Cocktail ,Hakataza Theater,Fuiji Daisuke,Fuiji Daisuke,Takahashi Kuni. Kuratomi Shinichi. Miyahara Tooru,Hayama Kiyomi. Kenji Nakao. Miori Yumino. Wakao Risa. ANJU,Haruno Sumire,1,Ootori Rei,10,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,3,8,2002,25,8,2002
Flower,Shadow of the Moon,月の燈影,Tsuki no Hokage,Bow Hall,Oono Takuji,Oono Takuji,Takahashi Kuni. Kikawada Shin,Yamamura Waka. Nishizaki Mine,N/A,0,N/A,0,Ayabuki Mao,FALSE,TRUE,FALSE,FALSE,drama. nihonmono.,FALSE,FALSE,FALSE,FALSE,2,8,2002,11,8,2002
Snow,Emao Yuu Live Concert YU EMAO LIVE IN BLITZ,絵麻緒ゆうライブコンサート YU　EMAO　LIVE　IN　BLITZ,Emao Yuu Live Concert YU EMAO LIVE IN BLITZ,Akasaka Blitz,Nakamura Satoru. Ishida Masaya,N/A,N/A,N/A,N/A,0,N/A,0,Emao Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,27,7,2002,28,7,2002
Snow,2002 Takarazuka Paris Festival,2002宝塚巴里祭,2002 Takarazuka Parisai,Palace Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Takashiro Kei,FALSE,TRUE,TRUE,FALSE,french,FALSE,FALSE,FALSE,FALSE,25,7,2002,26,7,2002
