Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author ,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Cosmos,Figaro!,フィガロ！,Figaro!,Bow Hall,Oota Tetsunori,Oota Tetsunori,Yoshizaki Kenji. Miyahara Tooru. Maeda Shigezane,Miyazaki Atsumi,N/A,0,N/A,0,Mizu Natsuki. Ayano Kanami,FALSE,TRUE,FALSE,FALSE,drama. comedy. spanish. 1700s,TRUE,opera,FALSE,FALSE,8,9,2001,17,9,2001
Flower,Aika Mire Dinner Show - Felicita Arcobaleno,愛華みれディナーショー「Felicita Arcobaleno」,Aika Mire Dinner Show - Felicita Arcobaleno,Palace Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Aika Mire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,2,9,2001,3,9,2001
Flower,Flower Troupe Encourage Concert -Reprise-,花組エンカレッジコンサート －リプライズ－,Hanagumi Encourage Concert -Reprise-,Bow Hall,Okada Keiji,N/A,Yoshizaki Kenji,N/A,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,30,8,2001,31,8,2001
Flower,Aika Mire Dinner Show - Felicita Arcobaleno,愛華みれディナーショー「Felicita Arcobaleno」,Aika Mire Dinner Show - Felicita Arcobaleno,Hotel Hankyu International,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Aika Mire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,27,8,2001,28,8,2001
Snow,Anna Karenina,アンナ・カレーニナ,Anna Karenina,Nippon Seinenkan Hall,Ueda Keiko,Ueda Keiko,N/A,N/A,N/A,0,N/A,0,Asami Hikaru. Konno Mahiru,FALSE,TRUE,FALSE,FALSE,drama. russian. 1800s,TRUE,novel,FALSE,FALSE,18,8,2001,24,8,2001
Moon,Great Pirates,大海賊,Dai-Kaizoku,Tokyo Takarazuka Theater,Nakamura Satoru,Nakamura Satoru,Minami Yasuo. Nishimura Kouji. Kuratomi Shinichi,Hayama Kiyomi. Seri Machika. Wakao Risa,Shibuki Jun,1,Emi Kurara,1,N/A,TRUE,FALSE,FALSE,FALSE,drama. european. 1600s,FALSE,FALSE,FALSE,FALSE,18,8,2001,24,9,2001
Moon,Jazzmania,ジャズマニア,JazzMania,Tokyo Takarazuka Theater,Miki Akio,Miki Akio,Takahashi Kuni. Yoshida Yuuko. Kuratomi Shinichi,Hayama Kiyomi. Nakura Kayoko. Ai Erina. Miori Yumino. Wakao Risa,Shibuki Jun,1,Emi Kurara,1,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,18,8,2001,24,9,2001
Star,The Rose of Versailles: Oscar and Andre,ベルサイユのばら2001: オスカルとアンドレ編,Versailles no Bara: Oscar to Andre Hen,Takarazuka Grand Theater,Ueda Shinji. Tani Masazumi,Ueda Shinji,Yoshida Yuuko. Terada Takio. Irie Kaoru. Kuratomi Shinichi. Kawasaki Tsuneo. Hirao Masaaki,Hayama Kiyomi. Shou Sumire. Ootani Morio. Wakao Risa. Oka Masami. Kita Hiroshi. Kurotaki Tsukio,Minoru Kou,7,Hoshina Yuri,10,N/A,FALSE,TRUE,FALSE,FALSE,drama. french. 1700s,TRUE,manga,FALSE,FALSE,17,8,2001,1,10,2001
Snow,Anna Karenina,アンナ・カレーニナ,Anna Karenina,Bow Hall,Ueda Keiko,Ueda Keiko,N/A,N/A,N/A,0,N/A,0,Asami Hikaru. Konno Mahiru,FALSE,TRUE,FALSE,FALSE,drama. russian. 1800s,TRUE,novel,FALSE,FALSE,4,8,2001,13,8,2001
Snow,Arch of Triumph,凱旋門,Gaisenmon,Hakataza Theater,Sha Tamae,Shibata Yukihiro,Terada Takio. Yoshida Yuuko. Saitou Tsuneyoshi,Sha Tamae. Iga Yuuko,Todoroki Yuu,12,Tsukikage Hitomi,13,N/A,TRUE,FALSE,FALSE,FALSE,drama. european. 30s. 40s,TRUE,novel,FALSE,FALSE,1,8,2001,23,8,2001
