Troupe,title_english,title_japanese,title_romaji,Venue,Director,Author,Composer,Choreographer,top_star,num_in_run,top_musume,num_in_run,lead,one_act,two_act,special,dinner_show,genre,adaption,adaption_from,revival,previous_revival_troupe,Start Day,Start Month,Start Year,End Day,End Month,End Year
Flower,Iori Naoka Dinner Show - LOVE BEAT,伊織直加ディナーショー「LOVE　BEAT」,Iori Naoka Dinner Show - LOVE BEAT,Takarazuka Hotel,Fujii Daisuke,N/A,N/A,Ai Erina,N/A,0,N/A,0,Iori Naoka,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,21,9,2000,22,9,2000
Flower,The Great Adventures of Tom Jones,トム・ジョーンズの華麗なる冒険,Tom Jones no Karei Naru Bouken,Bow Hall,Oota Tetsunori,Oota Tetsunori,"Yoshizaki Kenji, Takeuchi Kazuhiro, Maeda Shigemi",Miyazaki Atsumi,N/A,0,N/A,0,"Maikaze Rira, Takumi Hibiki",FALSE,TRUE,FALSE,FALSE,"drama, comedy, English",TRUE,novel,FALSE,FALSE,9,9,2000,19,9,2000
Mixed,TCA Special 2000 - King of Revue,2000TCAスペシャル KING OF REVUE,TCA Special 2000 - King of Revue,Takarazuka Grand Theater,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,FALSE,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,FALSE,FALSE,1,9,2000,2,9,2000
Star,Golden Pharaoh,黄金のファラオ,Ougon no Pharaoh,1000 Days Theater,Nakamura Satoru,Nakamura Satoru,"Nishimura Kouji, Kuratomi Shinichi","Hayama Kiyomi, Seri Machika, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,"drama, ancient, egyptian",FALSE,FALSE,FALSE,FALSE,19,8,2000,17,9,2000
Star,Miracat,美麗猫,Miracat,1000 Days Theater,Miki Akio,Miki Akio,"Takahashi Kuni, Yoshia Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Nakura Kayoko, Ai Erina, Miori Yumino, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,19,8,2000,17,9,2000
Cosmos,Nostalgia Across the Sea,望郷は海を越えて,Boukyou wa Umi o Koete,Takarazuka Grand Theater,Tani Masazumi,Tani Masazumi,"Yoshizaki Kenji, Miyahara Tooru","Nishizaki Mayumi, Shou Sumire",Wao Youka,2,Hanafusa Mari,24,N/A,TRUE,FALSE,FALSE,FALSE,"drama, 1700s, japanese, russian",TRUE,novel,FALSE,FALSE,18,8,2000,25,9,2000
Cosmos,Millennium Challenger!,ミレニアム・チャレンジャー！,Millennium Challenger!,Takarazuka Grand Theater,Ishida Masaya,Ishida Masaya,"Nishimura Kouji, Minami Yasuo, Bob Sakuma, Onodera Tadakazu, SASA","Ai Erina, Maeda Kiyomi, Irie Tashiaki, SAM",Wao Youka,2,Hanafusa Mari,24,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,18,8,2000,25,9,2000
Moon,Extreme Embarrassment,更に狂はじ ,Sarani Kuruwaji,Bow Hall,Oono Takuji,Oono Takuji,"Takahashi Kuni, Kigawada Shin","Yamamura Waka, Nishizaki Mine",N/A ,0,N/A,0,Yamato Yuuga,FALSE,TRUE,FALSE,FALSE,"drama, nihonmono",FALSE,FALSE,FALSE,FALSE,6,8,2000,20,8,2000
Moon,Luna,ＬＵＮＡ,Luna,Hakataza Theater,Koike Shuuichirou,Koike Shuuichirou,"Yoshida Yuuko, Kai Masato","Ootani Morio, Masaki Rino, Miori Yumino",Makoto Tsubasa,9,Dan Rei,5,N/A,TRUE,FALSE,FALSE,FALSE,"drama, comedy, english",FALSE,FALSE,FALSE,FALSE,1,8,2000,21,8,2000
Moon,Blue Moon Blue,BLUE MOON BLUE,Blue Moon Blue,Hakataza Theater,Saitou Yoshiamasa,Saitou Yoshimasa,"Takahashi Kuni, Yoshida Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Koido Hideya, Miori Yumino, Kawasaki Etsuko",Makoto Tsubasa,9,Dan Rei,5,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,1,8,2000,21,8,2000
Flower,Lived in a Dream -The Tale of Genji- ,あさきゆめみし -源氏物語-,Asaki Yume Mishi -Genji Monogatari-,1000 Days Theater,Kusano Akira,Kusano Akira,"Takahashi Jou, Kuratomi Shinichi, Kikawada Shin","Nishikawa Minosuke, Muromachi Akane",Aika Mire,5,Ootori Rei,5,N/A,TRUE,FALSE,TRUE,FALSE,"drama, nihonmono",TRUE,novel,FALSE,FALSE,1,7,2000,14,8,2000
Flower,The Beauties!,ザ・ビューティーズ！,The Beauties!,1000 Days Theater,Nakamura Kazunori,Nakamura Kazunori,"Nishimura Kouji, Kai Masato, Kuratomi Shinichi","Naukra Kayoko, Ieki Hiroshi, Ai Erina, Ootani Morio, Hirayama Kora",Aika Mire,5,Ootori Rei,5,N/A,TRUE,FALSE,TRUE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,1,7,2000,14,8,2000
Snow,Department Store,デパートメント・ストア,Department Store / Gaisenmon,Takarazuka Grand Theater,Masatsuka Haruhiko,Masatsuka Haruhiko,"Takahashi Kuni, Miyahara Tooru, Kuratomi Shinichi","Iga Yuuko, Ueshima Yukio, Kawasaki Etsuko",Todoroki Yuu,10,Tsukikage Hitomi,10,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,30,6,2000,14,8,2000
Snow,Arch of Triumph,凱旋門,Gaisenmon,Takarazuka Grand Theater,Sha Tamae,Shibata Yukihiro,"Terada Takio, Yoshida Yuuko, Saitou Tsuneyoshi","Sha Tamae, Iga Yuuko",Todoroki Yuu,10,Tsukikage Hitomi,10,N/A,TRUE,FALSE,FALSE,FALSE,"drama, 30s, 40s, european",TRUE,novel,FALSE,FALSE,30,6,2000,14,8,2000
Moon,Extreme Embarrassment,更に狂はじ ,Sarani Kuruwaji,Nippon Seinenkan Hall,Oono Takuji,Oono Takuji,"Takahashi Kuni, Kigawada Shin","Yamamura Waka, Nishizaki Mine",N/A ,0,N/A,0,Yamato Yuuga,FALSE,TRUE,FALSE,FALSE,"drama, nihonmono",FALSE,FALSE,FALSE,FALSE,28,7,2000,2,8,2000
Star,Love Insurance,Love Insurance,Love Insurance,Akasaka ACT Theater,Masatsuka Haruhiko,Masatsuka Haruhiko,Takahashi Kuni,"Ueshima Yukio, Iga Yuuko",Minoru Kou,4,Hoshina Yuri,7,N/A,FALSE,TRUE,FALSE,FALSE,"drama, american, mystery",FALSE,FALSE,FALSE,FALSE,26,7,2000,1,8,2000
Star,Emao Yuu Dinner Show - Gambler －The Betting Begins－,絵麻緒ゆうディナーショー「Gambler－賭が始まる－」,"Emao Yuu Dinner Show - Gambler －Kake ga Hajimaru－,",Westin Nagoya Castle,Nakamura Satoru,N/A,N/A,N/A,N/A,0,N/A,0,Emao Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,26,7,2000,26,7,2000
Star,Emao Yuu Dinner Show - Gambler －The Betting Begins－,絵麻緒ゆうディナーショー「Gambler－賭が始まる－」,"Emao Yuu Dinner Show - Gambler －Kake ga Hajimaru－,",Daiichi Hotel Tokyo,Nakamura Satoru,N/A,N/A,N/A,N/A,0,N/A,0,Emao Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,24,7,2000,25,7,2000
Star,2000 Takarazuka Paris Festival,2000宝塚巴里祭,2000 Takarazuka Parisai,Daiichi Hotel Tokyo,N/A,N/A,N/A,N/A,N/A,0,N/A,0,"Ayaki Nao, Yumeki Noa",FALSE,TRUE,TRUE,FALSE,french,FALSE,FALSE,FALSE,FALSE,20,7,2000,21,7,2000
Star,Emao Yuu Dinner Show - Gambler －The Betting Begins－,絵麻緒ゆうディナーショー「Gambler－賭が始まる－」,"Emao Yuu Dinner Show - Gambler －Kake ga Hajimaru－,",Hotel Hankyu International,Nakamura Satoru,N/A,N/A,N/A,N/A,0,N/A,0,Emao Yuu,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,17,7,2000,18,7,2000
Star,Natsumi You Salon Concert - Hasta Mahna,夏美ようサロンコンサート「アスタマーニャ」,Natsumi You Salon Concert - Hasta Mahna,Takarazuka Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Natsumi You,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,13,7,2000,14,7,2000
Star,2000 Takarazuka Paris Festival,2000宝塚巴里祭,2000 Takarazuka Parisai,Hotel Hankyu International,N/A,N/A,N/A,N/A,N/A,0,N/A,0,"Ayaki Nao, Yumeki Noa",FALSE,TRUE,TRUE,FALSE,french,FALSE,FALSE,FALSE,FALSE,10,7,2000,11,7,2000
Cosmos,Freedom: Mr. Carmen,ＦＲＥＥＤＯＭ ―ミスター・カルメン―,Freedom: Mr. Carmen,Nippon Seinenkan Hall,Kimura Shinji,Kimura Shinji,Kai Masato,"Takemura Rui, Suzuki Reiko",N/A,0,N/A,0,"Juri Sakiho, Toono Asuka",FALSE,TRUE,FALSE,FALSE,"drama, european",TRUE,novel,FALSE,FALSE,29,6,2000,4,7,2000
Mixed,"Takarazuka: Snow, Moon, Flower / Sunrise Takarazuka",宝塚: 雪月花 / サンライズ タカラヅカ,Takarazuka: Setsugekka / Sunrise Takarazuka,"Friedrichstadt Palace Theatre, Berlin","Sakai Sumio, Okada Keiji",N/A,N/A,N/A,N/A,0,N/A,0,Shibuki Jun,FALSE,TRUE,TRUE,FALSE,german_tour,FALSE,FALSE,FALSE,FALSE,24,6,2000,7,7,2000
Flower,Haruno Sumire Dinner Show - SUMIRE2000 - Metamorphosis,春野寿美礼ディナーショー「SUMIRE2000－メタモルフォーゼス」,Haruno Sumire Dinner Show - SUMIRE2000 - Metamorphosis,Hotel Grand Palace,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Haruno Sumire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,11,6,2000,12,6,2000
Cosmos,Ephemeral Love,うたかたの恋,Utakata no Koi,National Tour,Shibata Yukihiro,Shibata Yukihiro,"Terada Takio, Yoshida Yuuko, Takahashi Kuni","Hayama Kiyomi, Shou Sumire",Wao Youka,1,Hanafusa Mari,23,N/A,TRUE,FALSE,FALSE,FALSE,"drama, austrian, 1800s",FALSE,FALSE,FALSE,FALSE,10,6,2000,2,7,2000
Cosmos,Glorious!!,GLORIOUS!!,Glorious!!,National Tour,Fujii Daisuke,Fujii Daisuke,"Takahashi Kuni, Miyahara Tooru, Kuratomi Shinichi","Hayama Kiyomi, Kenji Nakao, Miori Yumino, Wakao Risa, Iida Satoko",Wao Youka,1,Hanafusa Mari,23,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,TRUE,cosmos,10,6,2000,2,7,2000
Flower,Haruno Sumire Dinner Show - SUMIRE2000 - Metamorphosis,春野寿美礼ディナーショー「SUMIRE2000－メタモルフォーゼス」,Haruno Sumire Dinner Show - SUMIRE2000 - Metamorphosis,Shin Hankyu Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,Haruno Sumire,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,30,5,2000,31,5,2000
Star,Golden Pharaoh,黄金のファラオ,Ougon no Pharaoh,Takarazuka Grand Theater,Nakamura Satoru,Nakamura Satoru,"Nishimura Kouji, Kuratomi Shinichi","Hayama Kiyomi, Seri Machika, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,"drama, ancient, egyptian",FALSE,FALSE,FALSE,FALSE,19,5,2000,26,6,2000
Star,Miracat,美麗猫,Miracat,Takarazuka Grand Theater,Miki Akio,Miki Akio,"Takahashi Kuni, Yoshia Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Nakura Kayoko, Ai Erina, Miori Yumino, Wakao Risa",Minoru Kou,5,Hoshina Yuri,8,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,19,5,2000,26,6,2000
Moon,Luna,ＬＵＮＡ,Luna,1000 Days Theater,Koike Shuuichirou,Koike Shuuichirou,"Yoshida Yuuko, Kai Masato","Ootani Morio, Masaki Rino, Miori Yumino",Makoto Tsubasa,9,Dan Rei,5,N/A,TRUE,FALSE,FALSE,FALSE,"drama, comedy, english",FALSE,FALSE,FALSE,FALSE,12,5,2000,26,6,2000
Moon,Blue Moon Blue,BLUE MOON BLUE,Blue Moon Blue,1000 Days Theater,Saitou Yoshiamasa,Saitou Yoshimasa,"Takahashi Kuni, Yoshida Yuuko, Kuratomi Shinchi","Hayama Kiyomi, Koido Hideya, Miori Yumino, Kawasaki Etsuko",Makoto Tsubasa,9,Dan Rei,5,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,12,5,2000,26,6,2000
Cosmos,Freedom: Mr. Carmen,ＦＲＥＥＤＯＭ ―ミスター・カルメン―,Freedom: Mr. Carmen,Bow Hall,Kimura Shinji,Kimura Shinji,Kai Masato,"Takemura Rui, Suzuki Reiko",N/A,0,N/A,0,"Juri Sakiho, Toono Asuka",FALSE,TRUE,FALSE,FALSE,"drama, european",TRUE,novel,FALSE,FALSE,15,6,2000,23,6,2000
Moon,Shiomi Maho Dinner Show - Platinum,汐美真帆ディナーショー「Ｐｌａｔｉｎｕｍ」,Shiomi Maho Dinner Show - Platinum,Hotel Grand Palace,Fujii Daisuke,Fujii Daisuke,N/A,Iida Satoko,N/A,0,N/A,0,Shiomi Maho,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,17,4,2000,18,4,2000
Snow,The Man Called Bacchus,バッカスと呼ばれた男 ,Bacchus to Yobareta Otoko,National Tour,Tani Masazumi,Tani Masazumi,"Yoshizaki Kenji, Miyahara Tooru, Takeuchi Kazuhiro",Shou Sumire,Todoroki Yuu,9,Tsukikage Hitomi,9,N/A,TRUE,FALSE,FALSE,FALSE,"drama, 1600s, french",FALSE,FALSE,FALSE,FALSE,14,4,2000,7,5,2000
Snow,Splendor of a Thousand Beats,華麗なる千拍子,Karei Naru Sen Byoushi,National Tour,Nakamura Kazunori,Takaki Shirio,"Nishimura Kouji, Kai Masato, Kuratomi Shinichi","Nakura Kayoko, Ieki Hiroshi, Ai Erina, Ootani Morio",Todoroki Yuu,9,Tsukikage Hitomi,9,N/A,TRUE,FALSE,FALSE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,14,4,2000,7,5,2000
Moon,Shiomi Maho Dinner Show - Platinum,汐美真帆ディナーショー「Ｐｌａｔｉｎｕｍ」,Shiomi Maho Dinner Show - Platinum,Takarazuka Hotel,Fujii Daisuke,Fujii Daisuke,N/A,Iida Satoko,N/A,0,N/A,0,Shiomi Maho,FALSE,FALSE,FALSE,TRUE,N/A,FALSE,FALSE,FALSE,FALSE,12,4,2000,13,4,2000
Flower,Lived in A Dream,あさきゆめみし -源氏物語-,Asaki Yume Mishi -Genji Monogatari-,Takarazuka Grand Theater,Kusano Akira,Kusano Akira,"Takahashi Jou, Kuratomi Shinichi, Kikawada Shin","Nishikawa Minosuke, Muromachi Akane",Aika Mire,5,Ootori Rei,5,N/A,TRUE,FALSE,TRUE,FALSE,"drama, nihonmono",TRUE,novel,FALSE,FALSE,7,4,2000,15,5,2000
Flower,The Beauties!,ザ・ビューティーズ！,The Beauties!,Takarazuka Grand Theater,Nakamura Kazunori,Nakamura Kazunori,"Nishimura Kouji, Kai Masato, Kuratomi Shinichi","Naukra Kayoko, Ieki Hiroshi, Ai Erina, Ootani Morio, Hirayama Kora",Aika Mire,5,Ootori Rei,5,N/A,TRUE,FALSE,TRUE,FALSE,revue,FALSE,FALSE,FALSE,FALSE,7,4,2000,15,5,2000
Cosmos,Black Rose of the Desert,砂漠の黒薔薇,Sabaku no Kurobara,1000 Days Theater,Sakai Sumio,Sakai Sumio,"Yoshida Yuuko, Kuratomi Shinichi","Hayama Kiyomi, Wakao Risa",Shizuki Asato,6,Hanafusa Mari,22,N/A,TRUE,FALSE,FALSE,FALSE,"drama, ancient, middle_eastern",FALSE,FALSE,FALSE,FALSE,24,3,2000,7,5,2000
Cosmos,Glorious!!,GLORIOUS!!,Glorious!!,1000 Days Theater,Fujii Daisuke,Fujii Daisuke,"Takahashi Kuni, Miyahara Tooru, Kuratomi Shinichi","Hayama Kiyomi, Kenji Nakao, Miori Yumino, Wakao Risa, Iida Satoko",Shizuki Asato,6,Hanafusa Mari,22,N/A,TRUE,FALSE,FALSE,FALSE,"revue, taidan, american",FALSE,FALSE,FALSE,FALSE,24,3,2000,7,5,2000
Snow,Bamboo-leaf Boat,ささら笹舟,Sasara Sasabune,Bow Hall,Tani Masazumi,Tani Masazumi,"Yoshizaki Kenji, Miyahara Tooru",Yamamura Waka,N/A,0,N/A,0,"Takashiro Kei, Konno Mahiru",FALSE,TRUE,FALSE,FALSE,"drama, nihonmono",FALSE,FALSE,FALSE,FALSE,22,4,2000,5,5,2000
